ID;Fertigungsnummer;Place;Group;row;column
1;55;Ab 1;Band 1;1;1
2;52;Ab 2;Band 1;1;2
3;1926;Ab 3;Band 1;1;3
4;5434;Ab 4;Band 1;1;4
5;5667;Ab 5;Band 1;1;5
6;5566;Ab 6;Band 1;1;6
7;345;Ab 7;Band 1;1;7
8;235475;Pos 1;Band 2;1;8
9;235476;Pos 2;Band 2;1;9
10;345;Pos 3;Band 2;1;10
11;235478;Pos 4;Band 2;1;11
12;5456456;Pos 5;Band 2;1;12
13;235480;Pos 6;Band 2;1;13
14;235481;Pos 7;Band 2;1;14
15;235482;Pos 8;Band 2;1;15
16;235483;Pos 9;Band 2;1;16
17;235484;Pos 3 1;Band 3;1;17
18;1111111;Pos 3 2;Band 3;1;18
19;235486;Pos 3 3;Band 3;1;19
20;335;Pos 3 4;Band 3;1;20
21;235488;Pos 3 5;Band 3;2;1
22;235489;Pos 3 6;Band 3;2;2
23;235490;Pos 3 7;Band 3;2;3
24;235491;Pos 3 8;Band 3;2;4
25;235492;Pos 3 9;Band 3;2;5
26;235493;Pos 3 10;Band 3;2;6
27;2,35494E+11;Pos 3 11;Band 3;2;7
28;235495;Pos 4 1;Band 4;2;8
29;24;Pos 4 2;Band 4;2;9
30;20202020;Pos 4 3;Band 4;2;10
31;235498;Pos 4 4;Band 4;2;11
32;235499;Pos 4 5;Band 4;2;12
33;235500;Pos 4 6;Band 4;2;13
34;235501;Pos 4 7;Band 4;2;14
35;235502;Pos 4 8;Band 4;2;15
36;235503;Pos 4 9;Band 4;2;16
37;12;Pos 4 10;Band 4;2;17
38;18;Pos 4 11;Band 4;2;18
39;24;Pos 4 12;Band 4;2;19
40;24;Pos 4 13;Band 4;2;20
41;235508;Pos 4 14;Band 4;3;1
42;235509;Pos 4 15;Band 4;3;2
43;235510;Pos 4 16;Band 4;3;3
44;235511;Pos 4 17;Band 4;3;4
45;235512;Pos 4 18;Band 4;3;5
46;235513;Pos 4 19;Band 4;3;6
47;235514;Pos 4 20;Band 4;3;7
48;235515;Pos 4 21;Band 4;3;8
